====================================================================
====================================================================
New simulation started at:    2023-03-10 20:28:00.441198
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost,w_rew,w_mark,rew_normal,mark_normal
50,63,19,0,0.05,2.0,0,True,0.01,63,13,33.44,33.44,1100.0,0.8,0.2,0.00836,0.038,
51,63,13,1,0.0,2.0,0,True,0.01,53,17,0.0,0.0,1100.0,0.8,0.2,0.0,0.035,
52,53,17,0,0.05,2.0,0,True,0.01,56,11,28.93,28.93,1100.0,0.8,0.2,0.0072325,0.0335,
53,56,11,1,0.0,2.0,0,True,0.01,71,11,0.0,0.0,1100.0,0.8,0.2,0.0,0.041,
54,71,11,2,0.0,2.0,0,True,0.01,74,14,0.0,0.0,1100.0,0.8,0.2,0.0,0.044,
55,74,14,2,0.0,2.0,0,True,0.01,88,18,0.0,0.0,1100.0,0.8,0.2,0.0,0.053,
56,88,18,0,0.05,2.0,0,True,0.02,67,20,37.09,37.09,1100.0,0.8,0.2,0.009272500000000001,0.0435,
57,67,20,1,0.0,2.0,0,True,0.01,57,14,0.0,0.0,1100.0,0.8,0.2,0.0,0.0355,
58,57,14,0,0.05,2.0,0,True,0.01,60,11,31.88,31.88,1100.0,0.8,0.2,0.00797,0.0355,
59,60,11,0,0.1,2.0,0,True,0.02,55,12,56.29,56.29,1100.0,0.8,0.2,0.0140725,0.0335,
60,55,12,1,0.05,2.0,0,True,0.01,54,10,30.27,30.27,1100.0,0.8,0.2,0.0075675,0.032,
61,54,10,0,0.1,2.0,0,True,0.03,72,17,80.68,80.68,1100.0,0.8,0.2,0.02017,0.0445,
62,72,17,2,0.1,2.0,0,True,0.02,63,13,74.49,74.49,1100.0,0.8,0.2,0.0186225,0.038,
63,63,13,2,0.1,2.0,0,True,0.02,57,17,62.86,62.86,1100.0,0.8,0.2,0.015715,0.037,
64,57,17,2,0.1,2.0,0,True,0.02,60,10,69.55,69.55,1100.0,0.8,0.2,0.0173875,0.035,
65,60,10,2,0.1,2.0,0,True,0.03,76,9,88.8,88.8,1100.0,0.8,0.2,0.0222,0.0425,
66,76,9,1,0.05,2.0,0,True,0.02,77,17,42.84,42.84,1100.0,0.8,0.2,0.01071,0.047,
67,77,17,0,0.1,2.0,0,True,0.02,54,11,65.67,65.67,1100.0,0.8,0.2,0.0164175,0.0325,
68,54,11,0,0.15,2.0,0,True,0.03,62,14,97.22,97.22,1100.0,0.8,0.2,0.024305,0.038,
69,62,14,2,0.15,2.0,0,True,0.03,66,10,111.4,111.4,1100.0,0.8,0.2,0.02785,0.038,
70,66,10,1,0.1,2.0,0,True,0.02,65,12,76.63,76.63,1100.0,0.8,0.2,0.019157499999999997,0.0385,
71,65,12,2,0.1,2.0,0,True,0.03,72,13,85.46,85.46,1100.0,0.8,0.2,0.021365,0.0425,
72,72,13,0,0.15,2.0,0,True,0.03,60,8,101.74,101.74,1100.0,0.8,0.2,0.025435,0.034,
73,60,8,2,0.15,2.0,0,True,0.03,66,21,131.46,131.46,1100.0,0.8,0.2,0.032865000000000005,0.0435,
74,66,21,1,0.1,2.0,0,True,0.02,66,24,77.73,77.73,1100.0,0.8,0.2,0.019432500000000002,0.045,
75,66,24,0,0.15,2.0,0,True,0.03,75,8,125.53,125.53,1100.0,0.8,0.2,0.0313825,0.0415,
76,75,8,2,0.15,2.0,0,True,0.03,62,10,94.81,94.81,1100.0,0.8,0.2,0.0237025,0.036,
77,62,10,0,0.2,2.0,0,True,0.03,55,11,122.87,122.87,1100.0,0.8,0.2,0.030717500000000002,0.033,
78,55,11,0,0.25,2.0,0,True,0.05,67,8,190.62,190.62,1100.0,0.8,0.2,0.047655,0.0375,
79,67,8,0,0.3,2.0,0,True,0.05,65,11,231.24,231.24,1100.0,0.8,0.2,0.05781,0.038,
80,65,11,1,0.25,2.0,0,True,0.05,72,8,199.92,199.92,1100.0,0.8,0.2,0.04998,0.04,
81,72,8,2,0.25,2.0,0,True,0.05,74,13,193.57,193.57,1100.0,0.8,0.2,0.0483925,0.0435,
82,74,13,0,0.3,2.0,0,True,0.05,57,12,196.69,196.69,1100.0,0.8,0.2,0.0491725,0.0345,
83,57,12,0,0.35,2.0,0,True,0.05,58,13,235.91,235.91,1100.0,0.8,0.2,0.0589775,0.0355,
84,58,13,1,0.3,2.0,0,True,0.05,63,13,216.63,216.63,1100.0,0.8,0.2,0.0541575,0.038,
85,63,13,1,0.25,2.0,0,True,0.05,66,6,196.32,196.32,1100.0,0.8,0.2,0.04908,0.036,
86,66,6,0,0.3,2.0,0,True,0.05,67,10,228.76,228.76,1100.0,0.8,0.2,0.05719,0.0385,
87,67,10,2,0.3,2.0,0,True,0.05,66,8,236.1,236.1,1100.0,0.8,0.2,0.059025,0.037,
88,66,8,0,0.35,2.0,0,True,0.06,65,14,270.82,270.82,1100.0,0.8,0.2,0.067705,0.0395,
89,65,14,0,0.4,2.0,0,True,0.07,73,14,330.2,330.2,1100.0,0.8,0.2,0.08255,0.0435,
90,73,14,0,0.45,2.0,0,True,0.07,68,9,329.97,329.97,1100.0,0.8,0.2,0.08249250000000001,0.0385,
91,68,9,2,0.45,2.0,0,True,0.07,68,10,306.13,306.13,1100.0,0.8,0.2,0.0765325,0.039,
92,68,10,2,0.45,2.0,0,True,0.06,47,8,270.64,270.64,1100.0,0.8,0.2,0.06766,0.0275,
93,47,8,2,0.45,2.0,0,True,0.08,73,8,383.91,383.91,1100.0,0.8,0.2,0.09597750000000001,0.0405,
94,73,8,2,0.45,2.0,0,True,0.07,63,10,325.73,325.73,1100.0,0.8,0.2,0.0814325,0.0365,
95,63,10,0,0.5,2.0,0,True,0.09,76,7,408.44,408.44,1100.0,0.8,0.2,0.10211,0.0415,
96,76,7,0,0.55,2.0,0,True,0.08,63,7,361.82,361.82,1100.0,0.8,0.2,0.090455,0.035,
97,63,7,0,0.6,2.0,0,True,0.11,73,7,496.86,496.86,1100.0,0.8,0.2,0.124215,0.04,
98,73,7,2,0.6,2.0,0,True,0.1,69,6,474.32,474.32,1100.0,0.8,0.2,0.11858,0.0375,
99,69,6,2,0.6,2.0,0,True,0.11,75,7,518.84,518.84,1100.0,0.8,0.2,0.12971000000000002,0.041,
100,75,7,0,0.65,2.0,0.4,False,0.1,61,5,191.84,464.24,0,0.8,0.2,0.11606,0.033,
101,61,5,0,0.7,2.0,0.4,False,0.11,70,8,228.19,501.45,0,0.8,0.2,0.1253625,0.039,
102,70,8,2,0.7,2.0,0.4,False,0.13,82,12,263.4,589.18,0,0.8,0.2,0.14729499999999998,0.047,
103,82,12,0,0.75,2.0,0.4,False,0.1,58,9,225.46,454.67,0,0.8,0.2,0.1136675,0.0335,
104,58,9,2,0.75,2.0,0.4,False,0.15,84,10,349.36,720.16,0,0.8,0.2,0.18004,0.047,
105,84,10,0,0.8,2.0,0.4,False,0.12,63,8,281.65,545.77,0,0.8,0.2,0.1364425,0.0355,
